user_id,n_skills,n_mastered_in_path,pct_wasted
78534,9,8,88.88888888888889
78535,8,6,75.0
78536,8,7,87.5
78537,8,7,87.5
78538,5,4,80.0
78539,8,8,100.0
78540,7,6,85.71428571428571
78541,8,8,100.0
78542,8,8,100.0
78543,7,6,85.71428571428571
78544,9,7,77.77777777777779
78545,8,8,100.0
78546,8,8,100.0
78547,9,7,77.77777777777779
78548,8,7,87.5
78549,8,7,87.5
78550,8,6,75.0
78551,9,8,88.88888888888889
78552,8,8,100.0
78553,8,7,87.5
78555,8,8,100.0
78556,8,7,87.5
78557,10,9,90.0
78558,6,6,100.0
78559,8,7,87.5
78560,7,7,100.0
78561,9,7,77.77777777777779
78562,9,9,100.0
78564,9,8,88.88888888888889
78565,9,9,100.0
78566,10,8,80.0
78567,8,7,87.5
78568,7,5,71.42857142857143
78569,8,6,75.0
78570,9,8,88.88888888888889
78571,8,7,87.5
78572,30,20,66.66666666666666
78573,7,6,85.71428571428571
78574,8,8,100.0
78575,19,14,73.68421052631578
78576,6,5,83.33333333333334
78577,8,7,87.5
78579,16,12,75.0
78581,6,6,100.0
78582,18,14,77.77777777777779
78583,7,6,85.71428571428571
78584,5,3,60.0
78586,6,4,66.66666666666666
78587,7,6,85.71428571428571
78588,15,10,66.66666666666666
78589,9,9,100.0
78590,17,12,70.58823529411765
78591,9,7,77.77777777777779
78593,6,6,100.0
78595,24,18,75.0
78647,39,7,17.94871794871795
78673,72,64,88.88888888888889
78674,3,3,100.0
78675,33,27,81.81818181818183
78704,20,9,45.0
78705,15,7,46.666666666666664
78706,15,12,80.0
78707,13,7,53.84615384615385
78708,21,11,52.38095238095239
78709,5,3,60.0
78710,19,9,47.368421052631575
78711,5,3,60.0
78712,12,10,83.33333333333334
78714,21,13,61.904761904761905
78718,17,14,82.35294117647058
78719,16,9,56.25
78720,15,8,53.333333333333336
78721,12,9,75.0
78722,14,8,57.14285714285714
78723,14,10,71.42857142857143
78724,16,8,50.0
78725,15,9,60.0
78726,15,10,66.66666666666666
78727,15,8,53.333333333333336
78729,15,8,53.333333333333336
78732,8,3,37.5
78757,17,12,70.58823529411765
78763,7,6,85.71428571428571
78764,6,4,66.66666666666666
78765,20,10,50.0
78766,7,6,85.71428571428571
78767,16,16,100.0
78769,2,1,50.0
78770,16,16,100.0
78771,16,16,100.0
78772,16,16,100.0
78773,16,16,100.0
78776,16,16,100.0
78777,16,16,100.0
78778,17,16,94.11764705882352
78779,17,13,76.47058823529412
78780,17,16,94.11764705882352
78782,16,16,100.0
78784,17,16,94.11764705882352
78785,8,8,100.0
78786,16,16,100.0
78787,16,13,81.25
78789,16,16,100.0
78803,11,8,72.72727272727273
78804,10,7,70.0
78805,9,6,66.66666666666666
78806,8,2,25.0
78807,10,4,40.0
78808,9,0,0.0
78809,11,6,54.54545454545454
78810,13,11,84.61538461538461
78811,14,12,85.71428571428571
78812,12,7,58.333333333333336
78813,11,8,72.72727272727273
78814,10,8,80.0
78815,10,5,50.0
78816,10,7,70.0
78817,10,6,60.0
78818,8,6,75.0
78819,6,5,83.33333333333334
78833,11,4,36.36363636363637
78834,9,3,33.33333333333333
78835,10,3,30.0
78836,7,2,28.57142857142857
78837,9,3,33.33333333333333
78838,6,1,16.666666666666664
78839,10,3,30.0
78840,10,5,50.0
78842,10,2,20.0
78843,11,8,72.72727272727273
78844,11,5,45.45454545454545
78845,6,3,50.0
78846,7,1,14.285714285714285
78847,9,4,44.44444444444444
78848,7,1,14.285714285714285
78849,6,1,16.666666666666664
78863,19,16,84.21052631578947
78874,9,9,100.0
78875,16,13,81.25
78877,8,7,87.5
78879,7,7,100.0
78880,8,8,100.0
78882,8,4,50.0
78883,8,7,87.5
78884,7,3,42.857142857142854
78885,8,8,100.0
78886,8,8,100.0
78887,8,4,50.0
78888,8,7,87.5
78890,8,4,50.0
78891,8,3,37.5
78892,8,7,87.5
78893,8,4,50.0
78894,8,7,87.5
78895,8,6,75.0
78897,8,2,25.0
78899,9,8,88.88888888888889
78901,6,4,66.66666666666666
78902,6,4,66.66666666666666
78903,65,60,92.3076923076923
78904,67,62,92.53731343283582
78905,65,61,93.84615384615384
78906,65,61,93.84615384615384
78907,66,62,93.93939393939394
78908,66,61,92.42424242424242
78909,64,63,98.4375
78910,65,62,95.38461538461539
78911,67,62,92.53731343283582
78912,64,63,98.4375
78913,66,61,92.42424242424242
78914,66,63,95.45454545454545
78915,66,60,90.9090909090909
78916,66,63,95.45454545454545
78917,64,58,90.625
78918,67,61,91.04477611940298
78919,66,61,92.42424242424242
78920,65,61,93.84615384615384
78921,66,60,90.9090909090909
78922,67,62,92.53731343283582
78923,66,65,98.48484848484848
78926,68,65,95.58823529411765
78927,6,5,83.33333333333334
78928,14,8,57.14285714285714
78944,8,8,100.0
78945,8,4,50.0
78946,8,7,87.5
78947,8,6,75.0
78948,8,6,75.0
78949,8,7,87.5
78951,8,5,62.5
78952,7,6,85.71428571428571
